Date,"Total Cases","New Cases","New Cases 7-Day Moving Average","Case Growth","Cases Growth 7DMA","Total Deaths","New Deaths","New Deaths 7DMA","Death Growth","Death Growth 7DMA","Total Recoveries","New Recoveries","Recovery Rate","Active Cases","Case Fatality Rate (CFR)","Adjusted CFR","Total Deaths per MM Population","Total Cases per MM Population","Active Cases per ICU Bed"
2020-04-21,6599,140,197,2.17%,3.4%,437,9,15,2.1%,3.88%,654,41,9.91%,5508,6.62%,40.05%,3.99,60.22
2020-04-20,6459,200,218,3.2%,3.93%,428,19,16,4.65%,4.49%,613,41,9.49%,5418,6.63%,41.11%,3.91,58.94
2020-04-19,6259,172,230,2.83%,4.35%,409,12,16,3.02%,4.69%,572,56,9.14%,5278,6.53%,41.69%,3.73,57.12
2020-04-18,6087,209,237,3.56%,4.66%,397,10,21,2.58%,7.15%,516,29,8.48%,5174,6.52%,43.48%,3.62,55.55
2020-04-17,5878,218,240,3.85%,4.94%,387,25,24,6.91%,8.46%,487,52,8.29%,5004,6.58%,44.28%,3.53,53.64
2020-04-16,5660,207,226,3.8%,4.81%,362,13,23,3.72%,8.74%,435,82,7.69%,4863,6.4%,45.42%,3.3,51.65
2020-04-15,5453,230,226,4.4%,5.02%,349,14,24,4.18%,9.86%,353,58,6.47%,4751,6.4%,49.72%,3.18,49.76
2020-04-14,5223,291,208,5.9%,4.8%,335,20,23,6.35%,9.66%,295,53,5.65%,4593,6.41%,53.17%,3.06,47.66
2020-04-13,4932,284,182,6.11%,4.36%,315,18,22,6.06%,9.98%,242,45,4.91%,4375,6.39%,56.55%,2.87,45.01
2020-04-12,4648,220,200,4.97%,5.31%,297,50,21,20.24%,10.15%,197,40,4.24%,4154,6.39%,60.12%,2.71,42.42
2020-04-11,4428,233,191,5.55%,5.3%,247,26,15,11.76%,8.05%,157,17,3.55%,4024,5.58%,61.14%,2.25,40.41
2020-04-10,4195,119,168,2.92%,4.87%,221,18,12,8.87%,7.21%,140,16,3.34%,3834,5.27%,61.22%,2.02,38.28
2020-04-09,4076,206,206,5.32%,6.54%,203,21,14,11.54%,9.82%,124,28,3.04%,3749,4.98%,62.08%,1.85,37.2
2020-04-08,3870,106,223,2.82%,7.77%,182,5,12,2.82%,9.81%,96,12,2.48%,3592,4.7%,65.47%,1.66,35.32
2020-04-07,3764,104,240,2.84%,8.92%,177,14,13,8.59%,10.7%,84,11,2.23%,3503,4.7%,67.82%,1.62,34.35
2020-04-06,3660,414,302,12.75%,13.49%,163,11,12,7.24%,11.31%,73,9,1.99%,3424,4.45%,69.07%,1.49,33.4
